Article Count,512,256,128
10,4,7,9,10.44462713599205
1,2,7,17,14.722056716680527
12,2,10,11,12.674524635076523
8,1,13,9,13.693620592355728
9,3,8,11,13.769039154052734
8,6,5,5,9.306152880191803
7,2,9,13,14.810947597026825
3,4,7,9,13.052485287189484
8,4,7,9,11.402273893356323
2,3,10,7,13.414829045534134
5,3,9,9,12.250054001808167
5,3,9,9,11.931635320186615
2,2,11,9,12.836035817861557
13,4,8,7,10.82494193315506
5,4,5,13,13.860841304063797
11,2,11,9,11.87207043170929
10,2,9,13,13.380008339881897
4,3,8,11,12.423011004924774
1,1,17,1,12.506108492612839
8,2,10,11,13.185657113790512
17,2,15,1,8.95933410525322
6,2,12,7,13.00206783413887
4,2,11,9,12.977686136960983
2,3,10,7,13.528610661625862
3,2,10,11,14.65239429473877
10,0,15,9,12.736906379461288
13,2,10,11,13.464911580085754
8,2,9,13,12.815258204936981
14,2,9,13,13.748289734125137
8,6,6,3,8.209107786417007
1,2,5,21,16.759583920240402
7,1,13,9,11.942964792251587
16,1,13,9,13.750131130218506
4,2,9,13,14.57696259021759
5,4,5,13,12.792904645204544
12,3,12,3,9.820416182279587
8,3,8,11,13.186772882938385
5,5,6,7,11.149693876504898
5,0,9,21,16.44418889284134
4,2,9,13,13.454496413469315
9,1,11,13,12.960293054580688
1,2,14,3,12.264755755662918
10,3,10,7,11.669908165931702
5,2,11,9,12.545471221208572
1,2,12,7,12.610334873199463
6,6,3,9,10.215625375509262
1,5,8,3,10.330274820327759
8,0,11,17,14.900943130254745
15,1,13,9,12.670603901147842
12,4,7,9,10.416777908802032
15,1,15,5,10.848892718553543
2,2,8,15,15.58395653963089
7,3,8,11,12.861912190914154
1,4,9,5,10.740759044885635
2,1,12,11,13.186401337385178
12,2,12,7,11.769887298345566
2,2,10,11,13.644774615764618
1,1,9,17,16.32548624277115
1,2,11,9,13.496085822582245
15,2,11,9,10.921725451946259
2,0,9,21,18.774052172899246
1,5,7,5,10.435936391353607
15,3,8,11,11.488477051258087
1,2,10,11,14.008673340082169
10,2,10,11,12.659381300210953
