Article Count,512,256,128
12,3,7,13,13.072854101657867
7,1,14,7,13.902423173189163
4,2,14,3,11.194445431232452
5,1,12,11,12.330264270305634
1,1,15,5,12.797439724206924
7,2,9,13,13.597376883029938
8,1,15,5,11.762939840555191
13,3,9,9,10.301798224449158
12,0,17,5,11.684466302394867
7,3,11,5,11.416465997695923
9,1,13,9,13.377251476049423
15,0,16,7,12.914007246494293
11,5,6,7,9.986191153526306
11,3,12,3,10.756265550851822
3,5,7,5,10.310190469026566
3,2,14,3,11.402499675750732
5,0,18,3,12.283749461174011
4,2,13,5,12.30618104338646
8,1,13,9,12.322219789028168
9,0,17,5,11.88836720585823
8,2,13,5,11.396067917346954
10,3,11,5,10.39482393860817
7,1,13,9,12.707560569047928
8,0,15,9,12.72773990035057
2,2,15,1,11.007454186677933
4,1,15,5,12.148352891206741
5,1,14,7,13.286376297473907
12,1,15,5,12.39980023779653
9,2,13,5,11.575799018144608
1,0,16,7,13.271286100149155
6,0,16,7,12.608277648687363
3,4,11,1,9.507805943489075
7,1,14,7,12.898605644702911
15,2,11,9,11.752022504806519
7,1,13,9,14.028778940439224
13,1,14,7,12.483898147940636
4,1,16,3,11.601320326328278
5,2,12,7,12.95208528637886
8,2,13,5,10.66761827468872
6,0,16,7,12.261073768138885
5,0,18,3,12.37669062614441
3,1,16,3,13.014295220375061
3,5,9,1,9.620272040367126
1,2,9,13,13.48378300666809
3,1,14,7,13.447068601846695
5,3,9,9,11.055814027786255
14,1,14,7,11.683107107877731
4,5,8,3,9.689665973186493
10,2,9,13,13.539696991443634
3,2,14,3,11.087440848350525
3,4,10,3,10.423140317201614
6,1,12,11,14.213739573955536
6,2,12,7,12.20567911863327
13,2,12,7,10.880793303251266
8,2,14,3,11.235121488571167
4,1,16,3,12.934960156679153
4,3,13,1,10.389542192220688
7,1,13,9,13.14958930015564
8,4,8,7,11.232169196009636
9,0,18,3,12.563026562333107
4,0,17,5,12.907186329364777
4,2,13,5,12.052928537130356
9,3,10,7,11.90735474228859
5,3,12,3,10.51666659116745
2,4,11,1,11.640350341796875
4,0,14,11,13.809646248817444
13,0,18,3,11.72677692770958
6,1,15,5,11.888107419013977
4,4,10,3,9.91273957490921
6,2,11,9,12.509803742170334
8,0,14,11,13.755621701478958
6,2,13,5,11.308036178350449
2,3,11,5,12.227955371141434
5,3,9,9,11.526220917701721
4,2,12,7,13.45336577296257
3,4,11,1,10.871371641755104
5,1,10,15,13.050645500421524
5,3,10,7,12.301946803927422
14,1,13,9,11.936075240373611
6,3,11,5,11.937221556901932
10,2,13,5,11.600769862532616
1,7,5,1,8.289784759283066
3,2,11,9,12.596933484077454
4,2,13,5,12.153325110673904
5,4,10,3,11.280191510915756
6,2,10,11,12.023161739110947
7,3,12,3,10.932898223400116
9,0,18,3,12.226061195135117
7,1,14,7,11.631448984146118
8,2,14,3,10.072875797748566
4,2,11,9,11.977813720703125
3,2,15,1,10.528435945510864
4,3,9,9,12.985494524240494
6,4,9,5,11.505095690488815
1,0,14,11,16.25346863269806
11,0,16,7,12.78681880235672
7,0,15,9,14.664766401052475
11,0,16,7,13.46293792128563
8,3,12,3,10.98065385222435
7,3,11,5,11.366441950201988
10,1,14,7,12.09597995877266
12,2,13,5,11.506788164377213
9,1,12,11,13.119277149438858
14,0,17,5,10.953563421964645
11,0,14,11,13.429886668920517
5,2,14,3,10.61718374490738
11,1,14,7,12.766851365566254
5,3,11,5,10.567288190126419
7,2,13,5,11.709291100502014
2,3,10,7,12.107836276292801
8,0,17,5,12.271425664424896
7,2,11,9,12.666222244501114
1,3,13,1,10.801784336566925
7,2,12,7,12.734947174787521
4,1,15,5,12.739772707223892
10,0,18,3,11.342366695404053
5,2,12,7,12.606017798185349
7,2,12,7,12.076890632510185
10,2,13,5,11.420874640345573
2,1,17,1,12.477711945772171
1,3,10,7,11.867570281028748
9,1,12,11,13.176477998495102
6,2,13,5,11.71541765332222
1,2,15,1,12.00985312461853
4,2,12,7,13.669563993713107
7,3,12,3,10.220112050106282
6,2,13,5,12.912321925163269
7,4,10,3,9.361544072628021
1,2,11,9,14.599084079265594
1,2,14,3,11.838898062705994
3,2,12,7,12.764304786920547
4,4,10,3,10.686597347259521
2,1,14,7,14.413532823324203
5,1,16,3,11.733455091714859
10,1,15,5,11.99071192741394
9,2,11,9,12.65751251578331
5,2,10,11,12.922593086957932
4,1,14,7,13.74182978272438
7,1,14,7,12.51546162366867
6,1,14,7,12.810209393501282
5,2,13,5,11.782788664102554
7,3,11,5,11.199164137244225
4,1,12,11,13.789611353136788
3,3,12,3,10.566668331623077
6,2,14,3,10.161510646343231
7,3,11,5,10.81327673792839
5,1,14,7,12.96459248661995
9,2,12,7,12.562011867761612
9,1,15,5,11.54773598909378
5,1,15,5,12.457915663719177
13,0,16,7,14.122316420078278
2,0,18,3,12.675967320799828
8,2,13,5,11.42200282216072
4,2,11,9,12.63421106338501
7,4,9,5,10.198621600866318
5,1,14,7,12.438131123781204
2,3,13,1,11.868340224027634
8,0,13,13,15.56657525897026
2,2,14,3,12.963029980659485
7,0,16,7,13.0598818066466
3,0,18,3,13.753301292657852
13,1,14,7,13.345322698354721
5,0,18,3,12.809769481420517
5,2,11,9,13.249569475650787
9,2,13,5,12.02134294807911
4,2,11,9,14.159716248512268
8,2,11,9,13.454897850751877
3,2,14,3,11.634010583162308
3,4,10,3,10.896980822086334
9,0,16,7,12.84158280491829
4,0,15,9,14.290489315986633
2,1,16,3,12.554697185754776
11,3,9,9,12.187514990568161
5,2,13,5,12.297461539506912
10,1,12,11,14.486034095287323
5,2,15,1,12.01838481426239
4,3,12,3,12.235625818371773
10,2,13,5,11.307167452739542
2,0,18,3,13.384970515966415
7,3,12,3,10.89160815180421
3,2,13,5,12.308720380067825
2,1,17,1,12.790566623210907
4,2,14,3,12.028871566057205
4,3,11,5,12.688238799571991
7,0,15,9,14.09675258398056
11,2,12,7,11.303912580013275
7,3,11,5,10.913831204175949
2,1,16,3,12.27795895934105
7,0,16,7,12.776915371418
8,4,4,15,12.464513093233109
5,0,17,5,13.545267701148987
7,1,16,3,12.302100494503975
7,1,14,7,13.557855129241943
8,1,16,3,11.10562464594841
5,2,14,3,11.4882310628891
10,4,7,9,10.909365117549896
10,0,17,5,11.697539061307907
10,2,11,9,12.36309391872891
5,1,14,7,14.753833770751953
2,4,10,3,11.08613508939743
8,4,6,11,12.24853339791298
13,1,15,5,11.543938219547272
5,1,16,3,11.649901866912842
9,1,16,3,10.56756803393364
10,2,12,7,12.62465512752533
3,3,13,1,10.09952974319458
10,1,16,3,11.019266948103905
8,1,14,7,12.13005805015564
10,1,11,13,13.201457560062408
12,2,11,9,12.042750477790833
7,2,10,11,13.003348350524902
4,2,11,9,14.21932452917099
7,2,11,9,13.100235134363174
6,0,17,5,13.789188385009766
6,2,15,1,10.994168370962143
8,1,15,5,12.332962155342102
10,0,13,13,13.92517301440239
7,3,12,3,10.810857117176056
7,2,12,7,11.942300260066986
7,2,13,5,12.333167999982834
10,1,16,3,11.698272347450256
9,1,14,7,13.308214098215103
3,4,11,1,10.614708170294762
4,0,18,3,12.134914368391037
5,1,14,7,12.980187207460403
4,1,14,7,13.206860423088074
2,3,12,3,11.881381541490555
11,1,15,5,12.805135577917099
4,0,18,3,13.776037156581879
7,2,10,11,13.632127344608307
8,1,14,7,13.020512282848358
3,0,18,3,13.81450143456459
2,0,14,11,15.98100221157074
2,3,12,3,12.325579404830933
2,4,10,3,10.73717513680458
4,1,14,7,14.040951699018478
3,1,16,3,13.47708810865879
4,1,13,9,13.520842641592026
4,2,13,5,12.48812821507454
8,1,15,5,12.000138908624649
1,1,16,3,13.559164255857468
7,2,12,7,11.822826504707336
6,2,13,5,11.95499686896801
6,1,12,11,13.968095868825912
5,1,11,13,16.675926446914673
10,1,13,9,12.379301279783249
3,3,9,9,12.603027909994125
10,0,15,9,14.064409762620926
8,2,11,9,13.388906598091125
14,1,13,9,12.411011874347027
7,3,10,7,10.851795226335526
13,2,12,7,11.97667783498764
3,1,15,5,13.582632303237915
5,2,15,1,10.957064762711525
9,1,16,3,12.439014047384262
4,3,12,3,11.650238364934921
1,4,10,3,11.579572409391403
6,2,12,7,12.323790699243546
6,1,13,9,12.462183713912964
5,2,14,3,12.464972034096718
7,0,15,9,14.77209934592247
5,1,15,5,13.424323797225952
10,5,5,9,10.636066764593124
5,2,14,3,12.800603121519089
7,2,15,1,11.095952853560448
9,1,16,3,11.534828892423974
3,2,14,3,11.856961280107498
12,2,12,7,12.694492399692535
9,3,10,7,11.148202419281006
6,3,10,7,12.653269171714783
8,3,10,7,11.79067599773407
7,2,12,7,11.968680262565613
3,2,14,3,12.379010319709778
12,2,11,9,12.274648010730743
1,3,11,5,13.480310320854187
3,1,14,7,13.282932668924332
9,1,12,11,13.935550957918167
7,1,11,13,14.173640698194504
5,4,10,3,10.17458426952362
1,1,17,1,13.225135505199432
8,1,13,9,13.457999497652054
6,1,13,9,12.935633361339569
4,1,13,9,15.083795994520187
10,1,14,7,12.16476982831955
3,0,19,1,12.375488519668579
3,1,16,3,13.370113551616669
9,1,15,5,11.394158095121384
1,3,13,1,11.03857883810997
7,1,16,3,11.509778678417206
3,0,19,1,12.585819154977798
12,1,12,11,13.672193169593811
8,2,13,5,11.90549798309803
5,0,19,1,12.155722379684448
6,5,6,7,10.56814157962799
4,3,11,5,11.472484956185301
11,3,11,5,10.767570990043856
11,0,16,7,12.525296790667811
3,3,10,7,12.476886154064301
14,0,15,9,13.172762472332279
4,2,13,5,11.14641382020261
