Article Count,512,256,128
5,3,10,7,13.44675424695015
2,2,14,3,11.401215881109238
1,3,12,3,12.88634392619133
5,3,12,3,10.758439630270004
7,4,6,11,13.361169040203094
3,3,13,1,10.805660426616669
1,5,7,5,11.25001636147499
3,4,8,7,11.736235946416855
1,2,12,7,14.434515088796616
5,1,13,9,13.335812836885452
1,5,8,3,10.759587466716766
2,3,10,7,14.012994080781937
1,4,9,5,12.705473512411118
4,4,7,9,13.405872225761414
8,2,11,9,12.07868692278862
1,3,13,1,11.889556765556335
12,2,11,9,11.246253371238708
4,3,9,9,13.775482147932053
5,3,9,9,13.12969172000885
5,3,12,3,11.596960216760635
6,3,10,7,11.590691685676575
2,4,9,5,12.234669268131256
1,5,8,3,11.285390555858612
4,3,12,3,11.448029547929764
1,5,8,3,10.835907012224197
2,4,10,3,11.413797080516815
6,3,8,11,12.60561066865921
3,3,11,5,13.638954430818558
4,3,12,3,11.35264203981435
4,3,10,7,12.804511427879333
1,4,11,1,10.009011000394821
4,4,10,3,10.958807915449142
1,4,9,5,11.311395138502121
9,1,13,9,13.523823499679565
3,3,11,5,11.352757036685944
1,4,10,3,10.87507963180542
3,3,5,17,14.966377526521683
1,5,8,3,10.623848974704742
2,4,11,1,9.143719464540482
1,4,10,3,11.389701843261719
1,3,12,3,11.83940315246582
6,4,7,9,12.749204277992249
1,5,8,3,10.955974847078323
4,5,7,5,10.242722064256668
1,4,10,3,11.049749106168747
3,4,6,11,11.051950097084045
3,4,9,5,9.63084825873375
2,2,14,3,11.692055404186249
3,4,10,3,10.878393977880478
2,3,12,3,11.711475359203698
2,4,9,5,11.257085770368576
5,4,7,9,12.99386604088654
5,4,8,7,11.269427663831673
3,5,6,7,11.403401106595993
2,4,10,3,11.268681973218918
1,4,11,1,10.434627056121826
2,4,11,1,10.534272938966751
5,4,9,5,10.152742862701416
3,4,4,15,13.3161062002182
1,4,9,5,10.970185279846191
3,4,6,11,13.114372700452805
1,4,10,3,12.961786091327667
2,5,6,7,12.900816798210144
1,5,8,3,10.447366118431091
6,2,14,3,11.798211544752121
1,3,9,9,13.615088433027267
4,4,8,7,11.352173775434494
4,3,13,1,10.480591356754303
4,3,9,9,13.09780690073967
7,2,12,7,12.706516325473785
5,6,5,5,10.053967952728271
1,4,10,3,12.095178306102753
5,4,7,9,12.003604918718338
3,2,13,5,10.731034368276596
2,5,7,5,10.506416350603104
4,4,8,7,13.794859439134598
3,3,8,11,13.784875214099884
6,3,8,11,11.91625401377678
4,2,9,13,15.455424755811691
1,4,9,5,12.951490983366966
5,4,8,7,10.082432299852371
6,2,10,11,15.648941770195961
7,1,14,7,14.008810371160507
3,4,8,7,11.64328384399414
4,2,14,3,11.349495589733124
3,5,9,1,10.001525819301605
3,2,14,3,12.755164861679077
1,5,7,5,10.860366553068161
10,3,9,9,12.12759879231453
4,3,9,9,13.52531436085701
1,5,7,5,11.69302973151207
2,5,8,3,10.645886093378067
5,2,12,7,12.25207045674324
7,3,10,7,11.972858607769012
7,3,6,15,15.31884953379631
2,3,13,1,11.204610243439674
2,3,12,3,11.457933366298676
8,4,6,11,13.683643490076065
1,4,10,3,10.316477835178375
4,3,10,7,12.369127064943314
1,3,11,5,13.365439683198929
1,4,11,1,10.397780269384384
1,4,9,5,11.727690428495407
1,6,5,5,10.430236786603928
1,4,9,5,11.455690413713455
3,5,6,7,12.509662300348282
3,3,12,3,12.601402133703232
5,3,9,9,12.94952267408371
5,5,8,3,10.30503386259079
1,4,11,1,11.283104658126831
2,3,10,7,12.35166084766388
2,3,12,3,12.941985547542572
2,3,12,3,11.748333424329758
5,4,9,5,10.734029829502106
3,4,8,7,12.376531332731247
5,3,12,3,11.429145514965057
6,5,4,11,11.01016965508461
3,5,5,9,11.588564574718475
2,3,12,3,10.479486793279648
3,2,13,5,12.672696888446808
2,3,12,3,11.996705621480942
1,2,11,9,14.106803357601166
5,1,13,9,14.43964621424675
4,5,7,5,11.41224291920662
2,4,9,5,12.70298320055008
1,4,11,1,10.754307985305786
1,4,11,1,10.894626945257187
1,4,10,3,11.904585480690002
1,3,13,1,11.174172759056091
3,4,9,5,10.710704445838928
2,6,5,5,9.240486323833466
3,4,10,3,10.734220385551453
1,4,11,1,10.344172090291977
3,4,7,9,13.354289054870605
3,4,9,5,10.532643675804138
1,3,12,3,10.700441688299179
4,4,10,3,11.00494596362114
4,2,10,11,15.725223690271378
1,3,11,5,12.019971460103989
2,2,8,15,14.176980346441269
4,2,13,5,12.316186428070068
1,4,11,1,9.946409314870834
5,2,14,3,11.166531264781952
5,3,9,9,14.075705647468567
1,5,8,3,10.181744247674942
4,4,8,7,11.984802663326263
1,4,11,1,10.429510802030563
1,6,6,3,10.116545796394348
6,4,10,3,11.255972922453322
2,3,12,3,12.54097893834114
3,5,7,5,11.210778787732124
1,4,10,3,12.478708192706108
1,4,10,3,11.849626809358597
3,4,10,3,9.870085686445236
3,4,8,7,12.128369361162186
3,4,7,9,14.14410862326622
1,4,8,7,11.990556716918945
4,3,11,5,11.241724759340286
7,2,11,9,13.005741775035858
2,5,8,3,10.905351519584656
4,3,9,9,13.030652642250061
1,4,11,1,10.397546738386154
4,5,5,9,9.578018009662628
1,4,6,11,13.400214195251465
2,2,13,5,11.744903445243835
1,4,9,5,12.498975843191147
6,2,11,9,14.113725244998932
3,5,8,3,10.48836001753807
2,5,9,1,10.02341702580452
1,5,8,3,10.573776453733444
3,5,7,5,10.053073763847351
2,3,11,5,11.31413847208023
8,2,11,9,12.446763068437576
5,1,11,13,14.129434525966644
2,5,9,1,11.718432918190956
2,5,8,3,9.987520605325699
2,3,10,7,13.081967264413834
2,4,9,5,11.768835484981537
3,4,10,3,11.11650812625885
2,6,5,5,11.28871801495552
2,4,8,7,11.000836408483753
2,4,10,3,11.201339840888977
3,5,8,3,10.009559750556946
2,4,10,3,11.860370576381683
2,5,8,3,10.555072456598282
3,4,10,3,11.78929302938073
3,3,10,7,12.506874799728394
1,3,12,3,12.825018614530563
4,4,10,3,10.269820660352707
1,4,9,5,12.068271398544312
6,2,12,7,12.776674598455429
3,4,9,5,11.751210898160934
6,4,10,3,10.707238465547562
1,6,4,7,11.350519955158234
2,4,10,3,11.566192775964737
6,4,7,9,12.441057845950127
7,2,11,9,13.219748854637146
4,4,8,7,12.050845205783844
8,4,6,11,11.43170240521431
2,4,10,3,10.810986697673798
3,3,9,9,13.75825783610344
4,4,9,5,11.195262014865875
4,4,8,7,10.943828523159027
3,5,8,3,9.694048047065735
4,2,11,9,13.031925469636917
1,5,9,1,9.05199858546257
6,3,11,5,11.588577628135681
4,6,5,5,10.057799458503723
1,3,10,7,12.400638431310654
6,2,10,11,13.422164529561996
1,1,13,9,15.986422777175903
1,4,11,1,11.370139956474304
1,4,11,1,10.35831892490387
9,3,10,7,11.279263526201248
4,5,5,9,11.43969839811325
5,3,12,3,11.447630167007446
5,3,8,11,12.718754410743713
1,5,9,1,9.960061699151993
5,5,8,3,9.677904605865479
1,4,9,5,11.274929612874985
2,4,9,5,11.565410315990448
1,2,13,5,13.290313869714737
2,5,8,3,10.959199905395508
2,4,9,5,12.314360707998276
1,3,10,7,13.15972489118576
8,2,11,9,12.440472543239594
2,5,7,5,12.356510728597641
5,4,8,7,11.416516333818436
1,4,11,1,10.114376872777939
1,4,11,1,10.59682223200798
7,4,8,7,12.87984785437584
1,4,9,5,10.381482660770416
4,3,12,3,11.815770298242569
2,5,9,1,9.936999797821045
2,4,4,15,14.08256933093071
1,2,8,15,15.955493479967117
