Article Count,512,256,128
10,5,5,9,10.007191568613052
1,2,5,21,15.835212796926498
12,2,10,11,12.674524635076523
7,2,11,9,13.091546893119812
9,3,8,11,13.772520869970322
8,6,5,5,9.306152880191803
7,4,7,9,12.424814075231552
3,4,7,9,13.058892518281937
8,4,7,9,11.43528088927269
2,3,9,9,14.069067537784576
4,5,5,9,11.240713387727737
4,4,7,9,11.421196281909943
2,4,6,11,12.32471787929535
11,4,8,7,10.865242749452591
5,4,5,13,13.860841304063797
11,3,8,11,11.89623561501503
10,2,6,19,15.039960533380508
4,4,5,13,12.498169302940369
1,3,13,1,11.277532577514648
9,2,10,11,13.19413647055626
18,3,12,3,8.970248192548752
6,2,10,11,14.212579369544983
4,2,10,11,13.555630177259445
2,3,10,7,13.528610661625862
2,3,6,15,15.410345703363419
12,0,13,13,13.769237220287323
11,3,7,13,13.63190770149231
8,2,8,15,13.299394339323044
14,2,8,15,14.303197920322418
9,6,5,5,8.744781285524368
1,2,4,23,17.35250499844551
5,3,10,7,10.462981253862381
16,1,13,9,13.750131130218506
4,2,8,15,15.159032732248306
5,4,5,13,12.792904645204544
12,3,11,5,10.353856384754181
8,3,7,13,13.764102637767792
6,5,6,7,11.174960553646088
5,0,9,21,16.464651852846146
4,2,8,15,14.016104608774185
9,1,10,15,13.557790637016296
1,4,9,5,11.708898812532425
10,4,8,7,11.105368316173553
5,2,9,13,13.667313426733017
1,3,9,9,12.625116467475891
6,6,2,11,10.789593011140823
1,5,7,5,10.986057102680206
7,1,8,19,14.95998415350914
14,2,11,9,12.12630319595337
12,4,7,9,10.446138262748718
15,2,11,9,11.418872475624084
2,3,5,17,15.66837590932846
7,3,8,11,12.883814811706543
1,4,9,5,10.740759044885635
2,2,10,11,12.7045519053936
11,4,7,9,11.263117730617523
2,2,10,11,13.652523308992386
1,1,9,17,16.342148333787918
1,2,10,11,14.087780565023422
11,4,8,7,9.513668358325958
2,0,9,21,18.774052172899246
1,5,7,5,10.435936391353607
15,3,8,11,11.488477051258087
1,2,10,11,14.008673340082169
9,3,8,11,12.142399996519089
10,2,10,11,12.13947120308876
4,2,10,11,13.411458641290665
9,3,10,7,10.470634251832962
1,4,7,9,12.536464363336563
1,2,8,15,16.561884209513664
5,2,7,17,15.219416201114655
2,6,6,3,9.769211560487747
1,4,6,11,13.940167397260666
13,5,4,11,10.272868007421494
1,1,6,23,18.532970637083054
1,4,9,5,12.193146497011185
16,2,7,17,13.11925122141838
3,4,6,11,12.820277780294418
15,3,7,13,12.435795158147812
10,5,8,3,8.479888796806335
1,3,4,19,15.008285462856293
14,2,10,11,12.84615159034729
3,3,11,5,10.414979159832
7,6,2,11,10.505150824785233
13,2,13,5,11.318694025278091
13,3,8,11,12.1816948056221
2,5,4,11,12.001406401395798
3,1,13,9,12.837149798870087
3,4,6,11,12.88356739282608
1,4,4,15,14.440465927124023
9,4,7,9,10.828639090061188
1,2,9,13,15.508756071329117
9,4,6,11,12.117450058460236
8,3,7,13,12.384688436985016
7,2,9,13,13.148378521203995
3,3,9,9,12.91033461689949
11,5,5,9,10.02246567606926
3,4,7,9,11.213474601507187
13,4,9,5,10.164365977048874
1,2,9,13,14.493919610977173
3,5,6,7,11.17751070857048
1,5,7,5,10.135647416114807
14,3,8,11,12.504024714231491
3,6,6,3,9.307448923587799
3,0,14,11,14.65357357263565
1,4,9,5,11.975386917591095
9,3,10,7,10.930648744106293
4,3,11,5,11.560691565275192
10,3,7,13,12.069615453481674
13,2,12,7,11.707384467124939
2,3,5,17,15.645944118499756
6,3,6,15,12.015860557556152
2,3,10,7,11.55145913362503
5,3,7,13,13.743893921375275
9,4,7,9,11.909347265958786
12,3,8,11,12.015692293643951
5,2,10,11,13.081982672214508
8,3,9,9,11.647242993116379
8,6,6,3,8.908685803413391
3,5,6,7,10.118424952030182
3,5,5,9,11.93093889951706
9,2,13,5,10.967671364545822
10,2,8,15,13.551937311887741
14,3,12,3,9.506014257669449
3,8,3,1,6.687411189079285
9,2,9,13,12.292937159538269
6,2,11,9,13.520376026630402
11,2,11,9,12.833661019802094
4,2,11,9,12.845576792955399
9,2,8,15,13.65007010102272
10,3,6,15,12.997911781072617
2,2,10,11,13.050098061561584
15,3,8,11,12.412307053804398
1,5,5,9,11.244967818260193
4,4,4,15,13.489680528640747
8,3,9,9,10.787600308656693
2,4,4,15,14.961412519216537
10,3,8,11,12.808522552251816
4,2,12,7,11.97914668917656
1,3,7,13,14.030508428812027
10,3,8,11,12.701510041952133
3,3,6,15,14.029761552810669
10,3,9,9,9.594613134860992
7,4,6,11,12.011942982673645
6,1,11,13,14.469305664300919
5,2,8,15,13.32291629910469
2,5,8,3,9.883197665214539
5,1,10,15,14.663687646389008
11,2,9,13,13.236141979694366
1,2,10,11,14.4228295981884
12,3,7,13,13.288671433925629
8,3,10,7,11.946487754583359
12,3,7,13,13.245115101337433
2,5,7,5,10.842461556196213
2,3,9,9,12.5603546500206
1,6,5,5,11.402500361204147
11,3,9,9,11.593525528907776
14,3,8,11,12.93803784251213
4,5,8,3,10.447600156068802
2,2,9,13,14.578995943069458
4,3,6,15,13.088586241006851
3,4,5,13,13.335872739553452
10,3,9,9,12.267634779214859
13,2,14,3,9.718232244253159
12,5,6,7,10.600454986095428
1,3,10,7,13.219037473201752
10,1,11,13,14.449269652366638
12,3,8,11,11.842943012714386
1,3,6,15,14.89457830786705
11,5,5,9,10.980186998844147
7,3,9,9,11.555580824613571
6,4,8,7,10.499439001083374
11,3,11,5,9.711645185947418
17,2,10,11,11.512513279914856
15,4,7,9,10.354099154472351
6,3,6,15,13.3236503303051
1,1,12,11,15.35376039147377
16,4,8,7,10.14260908961296
4,6,1,13,11.331049025058746
1,2,8,15,15.320059835910797
1,5,5,9,11.329347372055054
10,2,10,11,12.080665647983551
2,2,9,13,14.42427134513855
2,1,8,19,16.059309273958206
1,3,7,13,14.0406534075737
15,3,9,9,10.1435467004776
3,5,5,9,12.427626341581345
3,2,6,19,15.951042145490646
1,0,11,17,18.271793216466904
4,4,6,11,12.672555446624756
9,5,7,5,9.935499876737595
13,3,9,9,12.497739136219025
6,4,9,5,10.388875097036362
6,4,5,13,12.566015809774399
10,4,6,11,12.208970695734024
16,4,5,13,12.317134141921997
1,2,8,15,14.514521598815918
9,4,6,11,12.222551882266998
3,2,6,19,16.485139340162277
5,2,11,9,13.080171346664429
8,3,7,13,13.15823221206665
7,4,8,7,11.156583160161972
5,4,6,11,11.395747780799866
11,4,7,9,12.03988179564476
4,3,7,13,12.69815918803215
4,2,9,13,14.622297018766403
2,3,6,15,14.682122111320496
8,3,7,13,13.155357539653778
2,3,10,7,11.822528183460236
11,2,13,5,10.358416097899095
8,1,10,15,15.04956939816475
15,4,8,7,10.756457209587097
16,3,9,9,11.647232800722122
2,4,7,9,10.922247171401978
2,6,6,3,9.562729984521866
13,3,8,11,12.213306099176407
5,3,8,11,13.070909470319748
8,4,8,7,10.180892705917358
2,3,8,11,13.212349027395248
10,3,10,7,11.827078461647034
1,5,6,7,11.101249247789383
4,3,5,17,13.76215347647667
2,4,8,7,11.901210606098175
1,2,11,9,14.915721327066422
2,3,5,17,15.173962324857712
3,3,3,21,14.66162022948265
