Article Count,512,256,128
8,4,8,7,9.95484471321106
1,2,9,13,13.524969607591629
11,2,11,9,12.191289156675339
8,1,14,7,13.068454176187515
9,2,11,9,13.745470970869064
10,4,10,3,9.792936861515045
7,2,10,11,14.199591666460037
3,3,9,9,13.606465250253677
9,3,9,9,11.948204040527344
2,3,10,7,13.40207988023758
5,3,9,9,12.231911480426788
5,3,9,9,11.931635320186615
2,2,12,7,12.2596655189991
13,3,11,5,10.82022511959076
5,2,9,13,15.100691050291061
11,2,11,9,11.90502467751503
9,1,11,13,13.9392329454422
4,3,8,11,12.413867145776749
1,1,17,1,12.506108492612839
8,2,11,9,12.614728033542633
17,2,15,1,8.95933410525322
6,2,12,7,13.037065863609314
4,1,13,9,13.579314023256302
2,2,11,9,14.712433829903603
7,1,10,15,16.222228169441223
10,0,16,7,12.204367518424988
13,2,10,11,13.607955187559128
8,1,13,9,12.21939492225647
13,2,11,9,12.675922214984894
11,4,10,3,9.26397255063057
1,1,6,23,17.840794324874878
7,1,13,9,11.942964792251587
17,0,15,9,14.30238538980484
4,1,11,13,15.065924674272537
6,3,7,13,13.30968552827835
13,3,12,3,9.800074011087418
8,2,12,7,12.541147857904434
6,4,8,7,11.726705104112625
5,0,10,19,15.916552871465683
4,2,9,13,13.447017818689346
9,1,12,11,12.457040846347809
1,2,14,3,12.264755755662918
10,3,11,5,11.097711503505707
5,2,11,9,12.523306846618652
1,0,16,7,13.71758982539177
5,6,4,7,9.626793593168259
1,4,9,5,11.548496931791306
8,0,13,13,13.838471174240112
13,1,14,7,12.130522787570953
12,4,8,7,9.913506627082825
16,0,17,5,11.422872245311737
2,2,9,13,14.967033445835114
7,3,8,11,12.861912190914154
4,2,13,5,11.77173399925232
2,1,12,11,13.178564757108688
11,2,13,5,11.210657715797424
2,2,11,9,13.067859590053558
1,1,10,15,15.694724649190903
1,2,11,9,13.488352090120316
16,1,15,5,10.406944990158081
2,0,10,19,18.169742703437805
1,4,10,3,10.400560557842255
15,3,9,9,10.962326616048813
1,1,12,11,14.58019244670868
10,2,10,11,12.659381300210953
10,0,16,7,12.020696878433228
5,1,13,9,13.370100736618042
10,1,15,5,10.87937706708908
2,2,11,9,13.65084359049797
1,1,10,15,17.123487696051598
4,2,8,15,14.59480094909668
3,4,10,3,10.939972817897797
1,3,9,9,13.81863021850586
14,5,5,9,9.753083974123001
1,1,9,17,16.697391480207443
1,1,16,3,13.132469952106476
18,1,11,13,12.610436379909515
3,3,7,13,13.97473868727684
16,2,10,11,12.411251217126846
12,2,13,5,10.520129829645157
1,1,10,15,14.834959745407104
14,2,12,7,11.753122866153717
6,1,15,5,11.27756518125534
8,3,9,9,11.4989894926548
14,1,16,3,11.266860693693161
12,2,11,9,12.214899003505707
3,4,7,9,11.960508584976196
3,1,14,7,12.252303719520569
3,4,8,7,11.658116608858109
1,2,9,13,14.97878783941269
8,3,9,9,11.351077318191528
1,1,12,11,15.503966927528381
8,4,9,5,10.394632697105408
8,2,11,9,11.818862348794937
6,2,11,9,12.081705391407013
3,3,10,7,12.309097349643707
14,1,13,9,11.968789339065552
5,2,15,1,9.948300242424011
14,2,14,3,10.69707316160202
1,2,11,9,13.255961030721664
3,5,7,5,10.536239266395569
2,2,13,5,11.737366735935211
15,2,12,7,11.9041348695755
4,5,8,3,9.894830137491226
3,0,17,5,12.872616469860077
1,3,11,5,12.56035801768303
8,2,13,5,10.914134174585342
5,1,15,5,12.664238393306732
10,2,12,7,10.962845295667648
11,1,17,1,10.57108747959137
2,2,12,7,13.056943356990814
6,3,7,13,11.535305142402649
3,2,13,5,11.483036756515503
5,2,9,13,14.272951394319534
10,3,11,5,11.268439084291458
10,2,11,9,11.96695852279663
7,0,15,9,13.598927736282349
10,2,10,11,12.648269414901733
10,3,12,3,10.553648859262466
4,1,13,9,12.72998920083046
4,1,13,9,14.297251164913177
11,0,17,5,11.98924070596695
9,1,13,9,12.483629792928696
15,2,14,3,9.999144107103348
3,8,3,1,6.687411189079285
8,2,11,9,11.244022786617279
8,0,16,7,14.029554516077042
12,1,14,7,12.741205662488937
4,0,16,7,13.355644315481186
8,2,9,13,13.081041276454926
13,0,14,11,13.36094182729721
2,2,10,11,13.034539848566055
14,3,9,9,11.858861207962036
1,4,6,11,12.338130444288254
7,0,14,11,14.548203140497208
8,2,11,9,11.2792589366436
3,2,10,11,14.907822161912918
10,2,12,7,12.216303139925003
4,2,12,7,11.97914668917656
1,1,13,9,14.032918065786362
14,0,15,9,13.72033640742302
4,2,10,11,13.469361990690231
9,2,14,3,8.64623510837555
6,3,9,9,11.993787556886673
6,0,15,9,13.848277121782303
5,1,12,11,12.746550440788269
3,2,12,7,12.50151041150093
5,0,13,13,14.603752076625824
13,1,12,11,13.171837896108627
1,2,10,11,14.332389920949936
11,2,12,7,12.0422183573246
8,1,14,7,13.102017849683762
12,3,7,13,13.245115101337433
2,5,7,5,10.842461556196213
4,0,15,9,14.042352020740509
1,4,10,3,11.98626571893692
10,3,11,5,10.52025681734085
14,1,13,9,13.45057624578476
5,4,10,3,10.973287612199783
3,1,12,11,14.48332291841507
4,3,8,11,12.004835039377213
4,2,8,15,14.863840520381927
9,2,10,11,13.338611334562302
13,2,14,3,9.718232244253159
12,3,11,5,11.110502183437347
1,1,15,5,13.665717512369156
10,0,14,11,14.384416699409485
12,1,15,5,11.281941175460815
1,3,7,13,14.285127341747284
15,2,12,7,11.943786889314651
6,1,13,9,12.57452455163002
8,1,13,9,12.555831491947174
11,2,14,3,9.720743745565414
15,2,13,5,10.028403013944626
15,2,13,5,10.358529895544052
7,2,13,5,11.055313557386398
1,0,16,7,14.640728741884232
17,2,11,9,11.703408658504486
4,5,3,13,11.835327923297882
1,0,15,9,14.652572065591812
1,2,11,9,13.01265761256218
10,2,12,7,11.037539154291153
3,0,13,13,15.411726653575897
2,1,10,15,14.948133736848831
1,3,8,11,13.442410588264465
15,2,12,7,10.181465208530426
3,1,14,7,14.229563474655151
3,3,5,17,14.829093277454376
1,0,13,13,16.94573000073433
3,3,10,7,12.096623450517654
10,4,8,7,11.05743744969368
15,2,13,5,11.829733312129974
7,1,16,3,11.55577501654625
7,2,10,11,13.009584307670593
11,2,10,11,13.23199388384819
18,2,10,11,12.817575752735138
2,2,9,13,13.955628037452698
11,2,10,11,13.311080038547516
3,0,14,11,15.15730395913124
5,2,13,5,11.894188910722733
7,3,8,11,12.624276161193848
7,2,14,3,11.09962272644043
6,2,12,7,11.224284380674362
14,1,15,5,12.524989247322083
4,2,10,11,12.705652207136154
6,0,13,13,15.812092900276184
2,0,14,11,15.217122733592987
8,2,10,11,13.116642743349075
4,1,14,7,12.890709400177002
11,1,16,3,10.33571246266365
8,1,11,13,14.483615070581436
16,3,10,7,11.341206729412079
17,1,14,7,12.203030228614807
3,2,13,5,10.87708666920662
2,1,15,5,13.212413042783737
12,2,12,7,11.668510854244232
5,2,11,9,13.043447047472
9,2,13,5,10.675177574157715
2,2,11,9,13.189339071512222
12,0,16,7,13.471404910087585
1,3,10,7,12.223189026117325
5,2,8,15,13.730645895004272
3,2,10,11,14.127155363559723
1,1,15,5,14.206665247678757
2,2,6,19,16.28693377971649
4,2,6,19,14.638494551181793
1,0,12,15,18.472455963492393
1,1,12,11,15.404664009809494
2,1,11,13,14.098663866519928
2,0,12,15,16.131016612052917
4,3,9,9,13.097529083490372
3,3,10,7,11.487357914447784
2,3,10,7,11.623716950416565
9,2,12,7,12.20333468914032
4,1,11,13,14.421820372343063
9,3,9,9,12.31734636425972
