Article Count,512,256,128
11,2,9,13,12.12857648730278
11,3,9,9,11.28920306653027
8,5,7,5,7.660792231559753
17,1,13,9,10.355899274349213
13,2,11,9,10.267025042742894
14,2,10,11,11.206750094890594
12,3,10,7,9.739608178319301
14,1,14,7,10.425147745189232
17,1,10,15,13.40431949790538
10,3,9,9,11.464843571186066
17,1,11,13,12.889519385255568
12,1,12,11,12.154062387736321
8,5,8,3,7.582339823246002
14,1,15,5,10.162011136551694
11,4,7,9,9.6915606848462
11,4,7,9,9.6915606848462
17,3,9,9,9.80802384018898
14,1,14,7,10.470982219438033
2,5,7,5,9.85137642120706
15,1,12,11,11.974959254264832
12,2,11,9,10.498605489730835
11,4,9,5,8.464600421789104
14,1,14,7,10.985799745526588
9,3,10,7,10.414318948984146
15,2,9,13,12.300022333860397
15,2,8,15,11.23484103959785
15,2,10,11,11.165771153568036
16,2,7,17,13.130915252862385
13,1,13,9,12.235361963510513
17,1,10,15,13.751218302370754
12,2,9,13,12.544752091169357
11,4,7,9,9.6915606848462
10,3,10,7,11.361441479887072
5,5,8,3,9.223537504673004
11,4,7,9,9.190113856961828
12,4,6,11,11.269109964370728
18,2,9,13,11.842575836504757
13,2,11,9,11.729433007712213
15,2,9,13,11.430350672343426
16,2,8,15,12.934324616368439
18,1,9,17,13.151683658361435
14,2,8,15,11.753259420394897
11,4,7,9,9.6915606848462
11,4,7,9,9.6915606848462
14,3,8,11,11.327817559242249
12,0,16,7,12.208680092782377
13,2,13,5,10.622925071264778
12,4,8,7,10.514844257090417
12,4,8,7,8.947025626897812
12,3,9,9,10.608144462108612
13,2,9,13,12.0771172931632
17,1,9,17,14.043894529342651
11,4,7,9,9.6915606848462
11,2,11,9,12.358385026454926
9,1,14,7,11.37406919352407
14,0,12,15,13.917408384649214
10,3,9,9,11.159849933667127
10,6,6,3,7.917789608240128
16,4,7,9,7.854468700038873
13,1,10,15,12.780636137112158
14,1,15,5,9.844666600227356
17,2,9,13,12.63062014028397
16,2,7,17,12.292173921505272
13,4,8,7,7.733290195465088
11,4,9,5,9.461827248334885
5,2,15,1,9.533743381500244
9,4,8,7,9.898430287837982
13,1,12,11,11.665204592371579
11,4,7,9,9.6915606848462
13,2,12,7,10.174714356660843
13,4,8,7,9.4941475325186
12,2,10,11,12.113692909479141
12,1,15,5,11.160213209132188
11,3,10,7,9.967037944352633
17,0,14,11,12.178172158175766
11,1,12,11,11.713162213563919
13,2,12,7,10.136840224779636
11,2,11,9,11.76897073267384
8,3,9,9,10.925116405355725
13,2,11,9,10.07783786633331
7,4,10,3,8.303966343402863
15,4,4,15,12.378087930765224
6,3,12,3,9.468228340148926
16,2,7,17,13.365397449027999
10,4,7,9,10.070670911166172
11,4,7,9,9.6915606848462
13,5,5,9,9.031854204202254
10,3,9,9,10.237233445523453
15,2,10,11,11.644814521074295
