Article Count,512,256,128
9,4,7,9,10.437230110168457
1,2,8,15,14.142289280891418
11,2,10,11,12.73245695233345
8,1,14,7,13.068454176187515
9,2,10,11,14.362188935279846
8,6,5,5,9.306152880191803
7,2,9,13,14.810947597026825
3,3,9,9,13.606465250253677
8,4,7,9,11.402273893356323
2,3,10,7,13.414829045534134
5,3,9,9,12.231911480426788
5,3,9,9,11.931635320186615
2,2,12,7,12.2596655189991
12,4,8,7,10.809380620718002
5,3,7,13,14.4296213388443
11,2,11,9,11.87207043170929
10,2,9,13,13.380008339881897
4,3,8,11,12.423011004924774
1,1,17,1,12.506108492612839
8,2,11,9,12.624179601669312
17,2,15,1,8.95933410525322
6,2,12,7,12.982470721006393
4,2,11,9,12.977686136960983
2,2,11,9,14.712433829903603
3,2,10,11,14.65239429473877
10,0,15,9,12.736906379461288
13,2,10,11,13.464911580085754
8,1,12,11,12.78266653418541
14,2,10,11,13.181529194116592
10,5,8,3,8.741730839014053
1,1,6,23,17.840794324874878
7,1,13,9,11.942964792251587
18,0,14,11,14.896996080875397
4,2,9,13,14.57696259021759
6,4,5,13,12.787854880094528
13,3,12,3,9.800074011087418
7,3,9,9,12.594250053167343
5,5,6,7,11.149693876504898
5,0,10,19,15.933386325836182
4,2,9,13,13.454496413469315
9,1,11,13,13.062225639820099
1,2,14,3,12.264755755662918
10,3,11,5,11.097711503505707
5,2,11,9,12.523306846618652
1,0,16,7,13.71758982539177
5,6,4,7,9.664738416671753
1,4,9,5,11.548496931791306
8,0,12,15,14.376500993967056
13,1,14,7,12.130522787570953
12,4,7,9,10.416777908802032
15,1,15,5,10.915197223424911
2,2,9,13,14.978949815034866
7,3,8,11,12.861912190914154
2,3,11,5,11.270236670970917
2,1,12,11,13.178564757108688
10,2,12,7,11.754341781139374
2,2,11,9,13.080591589212418
1,1,10,15,15.694724649190903
1,2,11,9,13.496085822582245
16,1,13,9,11.422115474939346
2,0,10,19,18.169742703437805
1,5,8,3,9.835432022809982
15,3,8,11,11.53735300898552
1,1,12,11,14.59079098701477
10,2,10,11,12.659381300210953
10,1,13,9,12.04794442653656
5,1,12,11,13.916002213954926
10,1,14,7,11.402373671531677
1,4,8,7,11.94579353928566
1,1,10,15,17.125625267624855
5,1,9,17,15.72706264257431
3,4,10,3,10.939972817897797
1,3,9,9,13.81863021850586
14,5,5,9,9.753083974123001
1,1,7,21,17.939703434705734
1,2,14,3,12.612279444932938
19,1,10,15,13.10765290260315
3,3,7,13,13.980602025985718
15,3,7,13,12.435795158147812
11,4,9,5,9.515643447637558
1,3,7,13,13.24396950006485
14,2,12,7,11.753122866153717
5,2,13,5,10.851375550031662
8,4,7,9,10.978839784860611
14,1,16,3,11.266860693693161
12,2,11,9,12.17424950003624
2,5,5,9,11.40996178984642
3,1,14,7,12.263147979974747
3,4,8,7,11.658116608858109
1,2,8,15,15.59784460067749
9,3,9,9,11.330284982919693
1,2,10,11,14.883723556995392
8,4,8,7,10.969758868217468
8,3,9,9,11.320529639720917
6,2,11,9,12.081705391407013
3,3,10,7,12.309097349643707
14,1,13,9,11.968789339065552
4,2,15,1,9.97625744342804
14,2,13,5,11.269959658384323
1,2,11,9,13.266586065292358
3,5,6,7,11.165637463331223
1,2,13,5,11.737614899873734
14,2,10,11,13.045216858386993
4,6,6,3,9.293414384126663
3,0,17,5,12.872616469860077
1,3,11,5,12.56035801768303
8,2,13,5,10.914134174585342
4,2,14,3,11.526574611663818
10,2,11,9,11.519057273864746
12,1,16,3,11.152089983224869
2,2,11,9,13.661683022975922
6,3,7,13,11.535305142402649
2,2,13,5,11.519531309604645
6,3,7,13,13.743017762899399
10,4,9,5,10.697421312332153
10,2,11,9,11.978311687707901
6,0,14,11,14.146089136600494
10,2,10,11,12.648269414901733
9,3,11,5,11.193919867277145
3,2,12,7,11.665773272514343
4,2,11,9,13.714862555265427
11,0,17,5,11.98924070596695
10,2,10,11,12.468779563903809
