Article Count,512,256,128
12,3,7,13,13.041650891304016
7,1,14,7,13.902423173189163
4,3,12,3,10.678117126226425
5,1,12,11,12.264147818088531
1,2,13,5,12.273155212402344
7,2,9,13,13.597376883029938
8,2,13,5,11.249348431825638
14,3,9,9,10.315218031406403
11,0,16,7,12.296756654977798
7,3,11,5,11.41798397898674
9,1,13,9,13.377251476049423
15,0,16,7,12.72809088230133
12,4,7,9,11.059690803289413
11,3,12,3,10.775464177131653
3,5,7,5,10.310190469026566
3,3,12,3,10.859964162111282
4,0,18,3,12.300712168216705
3,3,12,3,11.240003407001495
9,3,10,7,10.732566058635712
9,0,17,5,11.88836720585823
8,2,13,5,11.396067917346954
10,3,11,5,10.39482393860817
7,1,13,9,12.707560569047928
8,0,15,9,12.72773990035057
2,2,15,1,11.007454186677933
4,3,11,5,11.006324857473373
6,1,14,7,13.20855364203453
12,2,12,7,12.408322420499548
9,2,13,5,11.590616226196289
1,0,16,7,13.16323646903038
7,0,16,7,12.394867867231369
3,4,11,1,9.507805943489075
7,3,9,9,12.247511833906174
15,2,10,11,12.416395246982574
6,2,13,5,12.393057733774185
13,2,11,9,12.507561668753624
5,1,15,5,12.182052344083786
4,3,11,5,11.805563658475876
9,2,12,7,11.17406353354454
6,0,16,7,12.261073768138885
5,1,16,3,11.8377103805542
3,2,14,3,12.425851464271545
3,5,9,1,9.620272040367126
1,1,10,15,14.560944080352783
3,2,11,9,13.634030312299728
5,5,5,9,10.231358468532562
14,1,14,7,11.683107107877731
4,6,6,3,9.338212937116623
11,2,8,15,14.081264525651932
3,3,11,5,11.111162930727005
2,6,7,1,9.00184941291809
6,1,10,15,15.362202435731888
6,2,12,7,12.20567911863327
13,2,12,7,10.880793303251266
8,2,13,5,11.822052359580994
4,2,14,3,12.401310682296753
4,5,9,1,9.347145318984985
7,1,13,9,13.14958930015564
10,4,7,9,11.996537998318672
9,0,18,3,12.563026562333107
4,0,16,7,13.488168179988861
4,3,11,5,11.546758949756622
9,3,10,7,11.692752927541733
5,3,12,3,10.51666659116745
2,5,9,1,10.937211960554123
4,0,13,13,14.35642984509468
14,0,17,5,12.24708542227745
6,1,15,5,11.888107419013977
4,4,10,3,9.933036595582962
6,2,11,9,12.509803742170334
7,1,13,9,12.525600790977478
6,2,13,5,11.308036178350449
2,3,11,5,12.227955371141434
5,3,9,9,11.526220917701721
4,2,12,7,13.48813384771347
2,5,9,1,10.325097605586052
5,1,9,17,13.565290421247482
5,3,10,7,12.301946803927422
14,1,13,9,11.936075240373611
6,3,11,5,11.937221556901932
11,3,11,5,10.85261332988739
1,7,5,1,8.336868703365326
2,3,10,7,11.550288408994675
5,2,13,5,12.167078882455826
5,4,10,3,11.280191510915756
6,2,9,13,12.587363183498383
7,3,12,3,10.932898223400116
8,1,15,5,12.378440201282501
8,2,12,7,11.095554739236832
8,3,11,5,10.101804375648499
4,2,10,11,12.51278030872345
3,3,13,1,10.04236924648285
4,3,9,9,13.08790722489357
7,4,9,5,11.339183419942856
1,2,10,11,15.055650740861893
10,1,14,7,12.46689885854721
5,3,10,7,12.501217365264893
11,1,15,5,12.377796798944473
7,4,10,3,10.459927588701248
7,3,11,5,11.366441950201988
10,1,14,7,12.09597995877266
12,2,13,5,11.515821129083633
9,1,12,11,12.844071671366692
13,0,16,7,11.651218950748444
11,0,13,13,13.961373090744019
4,3,12,3,10.131058752536774
10,2,12,7,12.21584701538086
5,3,10,7,11.101232051849365
7,3,11,5,11.199561327695847
2,3,10,7,12.107836276292801
8,0,17,5,12.271425664424896
7,2,10,11,13.269310504198074
1,3,13,1,10.801784336566925
7,2,12,7,12.70111733675003
5,2,12,7,12.761394053697586
11,0,16,7,12.448629468679428
5,2,12,7,12.619272708892822
8,2,11,9,12.322843566536903
9,2,13,5,11.680876955389977
2,3,13,1,11.433631241321564
1,5,6,7,10.757724821567535
9,2,10,11,12.602216631174088
6,4,9,5,10.702124387025833
1,2,15,1,12.00985312461853
4,2,12,7,13.677151769399643
7,3,12,3,10.220112050106282
6,3,12,3,11.547729343175888
7,3,11,5,10.414114236831665
1,2,11,9,14.589586406946182
1,4,10,3,10.742953717708588
3,3,10,7,12.181032061576843
4,4,9,5,11.28413701057434
2,2,12,7,13.835297137498856
5,1,16,3,11.733455091714859
10,2,14,3,11.10881495475769
6,5,6,7,10.578422635793686
5,3,8,11,12.435079604387283
4,1,14,7,13.74182978272438
6,2,12,7,11.969740450382233
6,1,14,7,12.810209393501282
4,3,11,5,11.266552418470383
7,3,11,5,10.98845487833023
4,1,12,11,13.789611353136788
4,2,13,5,11.705095648765564
6,2,14,3,10.161510646343231
7,4,9,5,10.292169213294983
5,1,14,7,12.96459248661995
10,2,12,7,12.463176429271698
9,1,15,5,11.54773598909378
5,1,15,5,12.457915663719177
12,2,13,5,12.402577102184296
2,0,18,3,12.675967320799828
8,2,13,5,11.42200282216072
4,3,9,9,12.11755782365799
7,5,7,5,9.63892087340355
5,1,14,7,12.438131123781204
2,3,13,1,11.868340224027634
8,0,13,13,15.55100890994072
2,3,13,1,11.693327397108078
