Article Count,512,256,128
14,4,3,17,13.61636421084404
7,4,10,3,10.980334043502808
3,4,10,3,10.173455834388733
6,2,7,17,13.320032358169556
1,4,10,3,10.652941942214966
8,2,8,15,13.992996275424957
9,4,8,7,10.752732515335083
11,5,1,17,11.620014429092407
8,2,12,7,11.257752448320389
4,4,9,5,10.89866954088211
7,3,10,7,11.873438268899918
14,2,9,13,13.342718929052353
11,4,6,11,11.505976915359497
9,4,9,5,10.802786707878113
2,6,6,3,9.236756712198257
3,4,8,7,11.45844991505146
3,4,10,3,10.170153439044952
2,5,8,3,10.205857306718826
8,3,8,11,11.80876737833023
9,2,12,7,11.476775169372559
8,4,10,3,9.905111312866211
10,5,5,9,10.324184834957123
7,2,9,13,13.560123801231384
8,2,8,15,13.364232748746872
1,3,12,3,11.119507253170013
2,5,7,5,9.959359765052795
4,6,6,3,9.254611223936081
9,3,11,5,11.29367663656209
9,4,6,11,12.333073675632477
1,2,12,7,12.105104088783264
5,4,7,9,11.150155007839203
3,5,9,1,9.035535275936127
7,4,7,9,11.912878841161728
16,2,9,13,13.055085510015488
3,4,8,7,12.169504761695862
14,3,7,13,12.949529705187535
3,5,9,1,9.008377730846405
3,5,7,5,10.735591143369675
11,3,9,9,10.999179869890213
5,2,9,13,12.785987854003906
5,3,11,5,11.370721071958542
1,4,11,1,10.81020775437355
1,5,9,1,9.686564773321152
1,3,6,15,13.544102132320404
3,3,7,13,14.330004394054413
3,6,4,7,9.25224193930626
12,3,8,11,11.765997618436813
4,5,6,7,10.825880020856857
10,3,5,17,14.12989529967308
3,5,7,5,10.079583138227463
2,6,7,1,9.00184941291809
6,3,8,11,13.070304274559021
6,4,8,7,11.331147104501724
13,2,10,11,11.942397892475128
5,4,8,7,11.274361193180084
4,4,10,3,11.30622974038124
3,6,7,1,8.82355111837387
8,2,10,11,13.170440018177032
8,5,6,7,10.965368047356606
9,4,9,5,10.932761485514753
4,1,13,9,13.503574967384338
2,4,9,5,11.009722143411636
8,4,7,9,11.740588426589966
5,4,10,3,10.041729539632797
1,6,7,1,10.383785232901573
3,2,10,11,12.832790285348892
14,2,11,9,12.32481124997139
6,3,10,7,11.406051307916641
2,5,8,3,9.44387173652649
5,4,8,7,10.947295486927032
5,4,9,5,9.954135447740555
5,5,8,3,9.267584145069122
2,4,10,3,11.115601569414139
3,5,6,7,10.201663225889206
4,2,10,11,14.729021906852722
2,5,9,1,10.387355342507362
5,3,5,17,12.610096842050552
5,4,7,9,12.57500459253788
13,3,6,15,12.440790683031082
5,4,10,3,10.938409358263016
10,4,9,5,10.439287394285202
1,7,5,1,8.336868703365326
2,4,7,9,11.598178118467331
5,2,13,5,12.170565843582153
5,5,8,3,10.719465583562851
6,3,6,15,12.57591500878334
7,5,8,3,9.817275613546371
6,4,9,5,10.930682986974716
9,4,6,11,11.138870805501938
8,4,8,7,10.134539604187012
4,3,7,13,12.542614072561264
1,6,7,1,8.443310558795929
3,3,8,11,13.668976336717606
6,4,9,5,11.526364803314209
1,3,8,11,14.4513538479805
8,3,10,7,11.554282873868942
5,5,7,5,10.918639957904816
7,3,11,5,11.514415115118027
5,5,9,1,9.625434279441833
7,5,6,7,10.891213908791542
9,4,7,9,11.080763220787048
11,5,6,7,10.483025401830673
9,2,8,15,13.391344830393791
13,4,7,9,10.166503727436066
11,3,6,15,12.939630031585693
4,5,8,3,9.175595968961716
7,5,7,5,10.052477717399597
5,5,7,5,9.66818881034851
7,4,7,9,12.110326141119003
1,6,6,3,9.214603066444397
6,5,6,7,10.17052537202835
6,4,3,17,13.872693121433258
1,4,11,1,10.311080783605576
6,3,9,9,12.762394338846207
4,3,11,5,11.647687822580338
11,2,11,9,11.976677983999252
3,5,8,3,9.855601251125336
6,2,10,11,12.873142048716545
7,5,7,5,10.110130086541176
2,3,12,3,12.11733302474022
1,6,3,9,10.836179435253143
9,3,6,15,13.165514260530472
5,5,8,3,9.5859195291996
1,6,7,1,9.661483615636826
4,5,5,9,12.545887976884842
7,6,4,7,9.717436430636786
6,3,10,7,12.87429854273796
8,5,6,7,9.976099044084549
1,3,8,11,14.663597196340561
1,7,4,3,8.96147733926773
2,5,4,11,12.324820518493652
2,6,7,1,8.952628701925278
2,4,10,3,11.350194692611694
4,4,9,5,10.70022639632225
9,3,12,3,10.855810463428497
6,6,5,5,9.470199793577194
5,4,4,15,13.054380625486374
4,3,9,9,13.225366652011871
6,3,9,9,12.032112181186676
5,4,8,7,11.158050745725632
3,4,9,5,10.780575931072235
6,4,8,7,11.045427769422531
4,3,7,13,13.277093288184574
2,4,9,5,10.727717459201813
6,4,9,5,9.882731974124908
7,4,7,9,11.425045430660248
5,5,7,5,10.17018672823906
10,3,9,9,12.48274278640747
9,2,10,11,12.794258505105972
5,3,8,11,13.065817683935165
10,3,11,5,12.062827482819557
1,4,11,1,10.23974035680294
7,4,9,5,10.508512258529663
5,2,9,13,13.708989888429642
5,7,2,7,9.12474712729454
4,4,8,7,10.874859660863876
2,5,9,1,10.724823296070099
8,4,5,13,13.314662754535675
1,5,9,1,10.597503513097763
3,5,7,5,10.06006371974945
1,5,9,1,10.183513879776001
13,2,10,11,13.829752683639526
2,5,9,1,9.515584498643875
6,5,4,11,12.36733764410019
3,5,9,1,9.841680362820625
4,4,8,7,12.36504116654396
8,4,6,11,13.142152547836304
3,4,10,3,10.913876503705978
1,5,9,1,9.774628728628159
7,4,8,7,10.745487064123154
4,4,7,9,11.998819172382355
2,5,9,1,9.659739583730698
9,4,7,9,11.656426429748535
3,4,10,3,10.790782779455185
11,4,4,15,14.010960757732391
4,5,9,1,10.203942447900772
4,4,10,3,11.59957204759121
9,2,12,7,11.952314239906137
1,5,6,7,11.78221783041954
6,5,8,3,9.807572085131955
