Article Count,512,256,128
13,1,11,13,12.59292820096016
13,2,10,11,12.296251464786572
8,4,10,3,7.626542448997498
17,1,13,9,10.355294644832611
15,1,13,9,10.681990612715886
14,2,11,9,10.72438257932663
13,2,11,9,10.652185449780788
14,0,16,7,10.877190265235466
16,1,11,13,12.886275979838974
12,1,13,9,12.038156100067244
17,1,11,13,12.889519385255568
12,1,13,9,11.632640806229592
10,4,10,3,8.028319895267487
14,1,15,5,10.162011136551694
14,3,7,13,11.060887832839782
14,3,7,13,11.060887832839782
17,3,9,9,9.80802384018898
15,1,14,7,10.462332810620742
2,5,7,5,9.85137642120706
15,1,12,11,11.974959254264832
15,1,13,9,10.88287038893547
10,4,9,5,8.459028102758342
14,1,14,7,10.985799745526588
9,3,11,5,9.941882222890854
15,2,9,13,12.300022333860397
15,2,8,15,11.23484103959785
14,2,11,9,10.658040997384793
16,2,8,15,12.622657178340367
13,1,13,9,12.235361963510513
18,0,10,19,15.26839624391575
11,2,10,11,11.907127797603607
14,3,7,13,11.060887832839782
10,3,10,7,11.361441479887072
5,5,8,3,9.223537504673004
15,2,10,11,10.420346177397905
12,4,6,11,11.269109964370728
18,2,9,13,11.837018597449124
12,2,12,7,11.220969654273064
15,2,9,13,11.430350672343426
15,2,9,13,12.420902729034424
18,1,10,15,12.665978819131851
15,2,9,13,11.291110634803772
14,3,7,13,11.060887832839782
14,3,7,13,11.060887832839782
12,3,10,7,10.28878203034401
12,0,16,7,12.208680092782377
13,2,13,5,10.622925071264778
13,3,11,5,10.478379178498116
14,3,9,9,9.834108918905258
12,3,9,9,10.608144462108612
14,2,9,13,12.02267530469503
17,1,10,15,13.526204228401184
14,3,7,13,11.060887832839782
11,2,11,9,12.358385026454926
9,1,14,7,11.37406919352407
12,1,11,13,12.945590290905534
10,3,10,7,10.578135303540174
10,6,6,3,7.917789608240128
18,3,8,11,8.61500554953762
12,1,10,15,12.773722780707322
14,1,15,5,9.844666600227356
15,2,10,11,12.114815551489261
16,2,7,17,12.292173921505272
13,3,10,7,8.128551363945007
10,3,11,5,9.946622341871262
5,2,15,1,9.533743381500244
10,3,10,7,10.381828959552214
13,1,13,9,11.107555128956433
14,3,7,13,11.060887832839782
12,2,12,7,10.171634048223495
15,3,9,9,10.45195638471434
12,2,10,11,12.113692909479141
12,1,15,5,11.160213209132188
11,2,11,9,10.845001070058352
17,0,14,11,12.17368119269691
11,1,13,9,11.238189309835434
13,1,14,7,10.592699587345123
12,1,14,7,11.679277067169384
9,2,12,7,10.80600155936459
13,2,11,9,10.037338988435808
9,2,13,5,9.428305864334106
17,3,5,17,13.413046619415294
6,3,12,3,9.468228340148926
16,2,7,17,13.365397449027999
12,3,9,9,10.522951611372928
14,3,7,13,11.060887832839782
18,2,10,11,10.804578298177129
10,3,9,9,10.237233445523453
15,2,10,11,11.644814521074295
15,1,15,5,10.878691242743914
