Article Count,512,256,128
5,3,10,7,13.373645514249802
2,0,18,3,12.50955918431282
1,3,12,3,12.843041092157364
5,2,14,3,11.114672511816025
8,2,10,11,14.48300752043724
3,1,16,3,12.339852094650269
1,3,12,3,11.818720817565918
5,3,9,9,12.839793801307678
1,2,12,7,14.42777693271637
5,1,14,7,12.65016457438469
1,2,15,1,11.903711050748825
2,2,14,3,13.157059699296951
1,3,11,5,13.33542087674141
4,3,10,7,13.347489804029465
9,1,13,9,12.552450060844421
1,3,13,1,11.824066132307053
11,0,17,5,11.215402126312256
4,0,15,9,15.607545018196106
5,1,13,9,14.17921531200409
4,3,13,1,10.987390547990799
5,3,11,5,10.913155168294907
3,1,16,3,13.447374701499939
1,5,8,3,11.285390555858612
5,2,14,3,12.00165393948555
1,1,15,5,13.99896177649498
4,2,13,5,13.280089020729065
6,1,13,9,13.0570670068264
3,2,14,3,13.559445858001709
4,2,13,5,12.530469674759898
4,1,14,7,13.676375210285187
1,4,11,1,10.02637830376625
4,1,15,5,13.305425822734833
1,4,9,5,11.287206381559372
9,1,14,7,12.993638187646866
3,3,11,5,11.334294587373734
1,3,13,1,10.851690828800201
3,2,8,15,14.922378808259964
1,3,11,5,12.452334702014923
2,4,11,1,9.155634254217148
1,3,13,1,11.274005860090256
1,2,14,3,12.397667527198792
5,2,10,11,14.589357823133469
2,1,16,3,13.266750007867813
6,3,11,5,10.975427508354187
2,1,15,5,13.094101577997208
3,4,7,9,10.405963003635406
5,1,14,7,11.446032673120499
3,1,15,5,12.68624010682106
6,2,14,3,11.941490024328232
5,1,16,3,12.56749915837215
2,2,13,5,12.254013299942017
6,3,9,9,13.348720296801227
7,2,11,9,12.894171297550201
3,4,7,9,12.574370294809341
4,1,14,7,14.08813264966011
1,3,13,1,10.954161465168
3,1,17,1,12.063025921583176
7,1,15,5,11.806537598371506
3,4,4,15,13.3161062002182
2,1,16,3,11.912393152713776
3,2,11,9,13.175815641880035
1,2,14,3,14.329692512750626
2,2,11,9,15.686483174562454
3,2,14,3,12.095016479492188
6,2,14,3,11.798211544752121
3,2,14,3,12.08609127998352
5,2,12,7,12.463086634874344
7,1,15,5,12.388500660657883
4,2,13,5,12.407203257083893
6,2,13,5,12.107097923755646
8,2,11,9,13.43902137875557
1,4,10,3,12.093301773071289
5,3,10,7,11.981579184532166
3,2,13,5,10.663280367851257
2,4,9,5,10.803672134876251
6,2,11,9,15.519802331924438
3,3,8,11,13.74105116724968
6,1,15,5,11.06310224533081
5,2,11,9,14.181158602237701
1,4,9,5,12.923529013991356
6,3,10,7,10.475169390439987
6,1,16,3,13.592184022068977
6,1,14,7,14.00352692604065
4,2,9,13,14.36349231004715
4,1,16,3,11.907200396060944
3,3,13,1,11.16607654094696
6,0,16,7,15.1308813393116
1,2,13,5,12.622135311365128
10,1,14,7,12.586572110652924
4,2,12,7,13.44693461060524
1,5,7,5,11.641121476888657
3,3,12,3,11.743411034345627
5,0,17,5,12.603800654411316
8,2,12,7,12.459818274528017
8,1,11,13,15.82573851943016
2,2,15,1,11.655818417668343
2,2,13,5,12.59994187951088
8,3,10,7,13.069872915744781
2,3,12,3,10.545480579137802
3,4,9,5,11.18785759806633
1,3,12,3,12.478757798671722
1,3,13,1,10.937089443206787
1,3,11,5,12.320100843906403
1,3,11,5,12.242419451475143
1,2,12,7,13.127111107110977
3,4,7,9,13.777862936258316
3,1,15,5,14.513043254613876
6,1,14,7,13.10534656047821
6,1,16,3,12.50139206647873
1,3,13,1,11.893308252096176
2,2,12,7,12.89716500043869
2,3,12,3,12.874647617340088
1,3,13,1,11.12594386935234
7,0,17,5,12.805274665355682
3,2,13,5,12.93804806470871
5,2,14,3,11.890574753284454
8,3,10,7,10.96683332324028
6,3,8,11,13.249166041612625
2,2,13,5,11.432546615600586
3,1,15,5,13.250293880701065
2,1,15,5,13.797889918088913
1,1,13,9,14.64539709687233
5,1,13,9,14.439371675252914
6,3,9,9,13.938979923725128
