Article Count,512,256,128
13,0,14,11,12.532245963811874
12,2,11,9,11.786681253614468
10,2,13,5,8.863415896892548
15,1,14,7,9.915860950946808
16,0,15,9,11.067222941343678
14,2,12,7,10.247434794902802
14,1,13,9,11.0786792109849
13,0,16,7,10.872118386802239
15,1,11,13,13.034934255443222
13,0,15,9,12.46826905802165
17,1,11,13,12.889519385255568
12,1,14,7,11.151233253272057
10,4,10,3,8.009634852409363
15,1,15,5,10.154777934094266
15,3,7,13,11.04415704746991
15,3,7,13,11.04415704746991
17,3,9,9,9.796123951673508
16,0,16,7,10.906900676038706
3,4,8,7,10.761484454754855
15,0,15,9,11.756684720516205
15,1,13,9,10.88287038893547
11,4,10,3,7.987586819561782
14,1,14,7,10.985799745526588
9,3,11,5,9.941882222890854
15,2,9,13,12.29451671242714
14,2,10,11,10.344525626122813
14,2,11,9,10.658040997384793
16,2,9,13,12.122191427646092
13,1,13,9,12.235361963510513
18,0,10,19,15.26839624391575
12,1,13,9,11.85955435037613
15,3,7,13,11.04415704746991
10,3,10,7,11.361441479887072
6,5,8,3,9.19465520977974
15,1,12,11,10.800773953149704
13,2,10,11,12.268755752754346
18,1,12,11,11.79101513656503
13,1,14,7,11.700518615197213
14,2,10,11,10.936999382925327
18,1,10,15,13.411801196165573
17,1,10,15,12.665842682123184
14,2,9,13,11.26977664232254
15,3,7,13,11.04415704746991
15,3,7,13,11.04415704746991
14,2,11,9,11.261239618062973
12,0,16,7,12.208680092782377
15,1,15,5,11.08965518906263
13,2,13,5,10.997271883938637
16,2,10,11,10.703272014856339
12,3,9,9,10.608144462108612
14,2,9,13,12.02267530469503
17,1,10,15,13.526204228401184
15,3,7,13,11.04415704746991
11,2,11,9,12.358385026454926
9,1,14,7,11.37406919352407
10,1,13,9,11.95739311325699
10,3,10,7,10.578135303540174
13,2,14,3,9.87789723277092
17,2,12,7,8.202465590583763
14,0,14,11,12.145758456258026
14,1,15,5,9.835289359092712
15,2,10,11,12.06193892392207
18,1,10,15,12.271025239864647
14,2,12,7,8.51441204547882
10,2,12,7,11.066953927278519
7,0,18,3,11.010421931743622
10,3,10,7,10.381828959552214
13,1,13,9,11.107555128956433
15,3,7,13,11.04415704746991
13,2,12,7,10.167706400156021
15,2,10,11,11.431995474632476
12,2,10,11,12.110147625207901
12,1,15,5,11.160213209132188
10,2,12,7,10.593682466304308
17,0,15,9,11.68523769885383
11,1,13,9,11.218331664800644
13,1,14,7,10.658786028623581
11,1,14,7,11.665994231685833
9,2,13,5,10.31808926211575
14,0,17,5,9.960765280223068
9,2,13,5,9.428305864334106
19,1,10,15,13.902918060250054
7,2,14,3,9.817812263965607
17,1,9,17,13.780152644407256
13,3,9,9,10.507862917012947
15,3,7,13,11.04415704746991
20,2,10,11,10.784418755616551
12,2,11,9,10.540056720851135
15,2,10,11,11.644814521074295
15,0,17,5,11.379906760264818
14,3,6,15,11.507876905705157
8,3,10,7,11.026335475638433
15,1,13,9,10.296235700833506
11,2,10,11,11.797756910324097
20,0,13,13,12.798366440809474
14,1,13,9,11.811704571354491
14,1,10,15,12.556235194206238
7,0,19,1,10.824890941381454
6,1,14,7,12.05218654870987
7,3,12,3,9.527704656124115
16,2,9,13,11.706784179155855
16,2,10,11,12.75159412981165
15,2,9,13,12.217930493785614
10,1,15,5,10.545902450278987
15,2,13,5,11.084463692931651
14,0,13,13,13.250894688866563
7,3,12,3,9.762025147676468
9,1,15,5,9.193022012710571
13,0,15,9,12.572049201457
14,0,15,9,11.561722815036774
12,4,7,9,10.59132270556014
13,0,17,5,11.656633427699685
18,0,15,9,11.48822694869707
8,3,12,3,10.08608216047287
12,3,9,9,10.28412654183574
14,4,7,9,9.405545913989593
16,0,13,13,12.914071497337124
12,2,11,9,10.390151113271713
14,1,9,17,13.931842651567273
10,1,13,9,12.091199308633804
17,2,14,3,7.896407791159536
14,2,9,13,13.136492311954498
13,2,12,7,10.190703726668467
14,2,6,19,14.767712928512585
14,1,12,11,11.972119450569153
9,2,10,11,12.035345405340195
15,3,7,13,11.04415704746991
10,2,13,5,10.41576626885335
14,1,13,9,10.69431847333908
6,1,15,5,11.960373729467392
16,0,12,15,13.341598955157178
12,2,12,7,9.2727410197258
18,1,15,5,10.503530889749527
16,2,10,11,11.092990587702422
12,1,14,7,11.244232416152954
14,0,14,11,12.376662909984589
13,2,11,9,11.300109378931118
15,3,7,13,11.04415704746991
15,2,12,7,9.484478619334487
10,2,11,9,11.77573037147522
19,1,8,19,14.84484442898006
11,3,9,9,10.459417849779129
14,2,11,9,10.693670272827148
16,0,14,11,12.560151652452912
14,1,12,11,11.571287631988525
12,0,15,9,12.441934939531889
16,2,9,13,12.723655272819771
12,0,16,7,13.169431209564209
12,1,10,15,13.969412180641655
15,1,12,11,11.655623936858005
16,1,14,7,9.133200480837713
12,1,14,7,11.519761979579926
10,2,12,7,10.364653558195045
10,3,11,5,10.467443197965622
12,1,14,7,10.86544331908226
7,4,8,7,10.721890169557458
16,1,9,17,13.149997406671098
12,5,6,7,9.015478044748306
16,0,13,13,12.623630046844482
17,0,15,9,11.27626330358373
15,1,13,9,11.347735404968262
15,1,13,9,10.727278466230485
16,0,16,7,11.21663573384285
18,1,10,15,11.974182245464501
20,0,10,19,14.177525766370628
16,2,9,13,11.321818858385086
15,2,10,11,11.19605352187332
10,0,16,7,12.343711882829666
15,1,11,13,11.4820664473412
11,1,14,7,11.238182693719864
17,0,12,15,11.448067239178956
15,2,9,13,12.277394181251818
21,0,13,13,13.552702101752393
15,3,7,13,11.04415704746991
4,3,13,1,10.323015958070755
16,1,15,5,9.319506751281475
16,0,15,9,11.670010580535255
5,2,15,1,10.679014950990677
19,1,8,19,13.308882812846589
13,3,9,9,9.369305861033224
13,1,13,9,11.280501931905746
11,0,16,7,10.594702184200287
10,2,13,5,10.413646191358566
11,2,14,3,9.73303631835325
17,1,11,13,13.022842437028885
15,0,15,9,12.0734443962574
17,2,12,7,10.232189116222278
9,1,16,3,10.303625494241714
21,1,10,15,11.141796206276375
12,4,5,13,11.909492701292038
16,0,10,19,13.195408424482132
11,3,9,9,10.30448767542839
13,2,9,13,12.203365257971454
8,2,14,3,10.570957192700735
15,3,7,13,11.04415704746991
11,3,10,7,10.423997342586517
17,2,11,9,10.538123628247197
13,2,10,11,11.106339067220688
14,2,9,13,12.889688402414322
15,2,11,9,10.515142056593934
15,1,14,7,10.8936332586198
11,2,13,5,10.217657923698425
15,3,7,13,11.04415704746991
12,1,11,13,12.480878512974828
14,0,15,9,11.880488418404916
9,0,16,7,12.141399266627136
10,2,12,7,10.338697362366075
15,2,11,9,11.592182250871101
15,3,7,13,11.04415704746991
14,2,10,11,12.403766959905624
18,0,12,15,14.337383751814809
12,1,16,3,9.512547004226182
15,1,13,9,12.082610025780783
14,1,10,15,12.679628468225673
21,0,9,21,14.43119302392006
17,1,10,15,12.111726641654968
11,2,11,9,10.669645369052887
14,0,14,11,12.367711724534875
8,1,17,1,10.034262924350442
14,1,14,7,9.675114751855133
11,2,13,5,10.064950941010078
13,3,9,9,9.769825762962073
17,0,15,9,11.818991151979839
14,0,14,11,12.688767939805984
10,4,9,5,8.855867236852646
8,2,12,7,11.776868341026974
16,1,10,15,13.255691021680832
6,3,13,1,8.603646516799927
14,1,13,9,10.883094251155853
15,3,7,13,11.04415704746991
9,2,13,5,9.327555269002914
16,0,14,11,12.41338673429884
16,0,13,13,13.519890119188096
13,0,15,9,12.945320086960766
18,0,14,11,12.46797581688874
13,1,15,5,10.446198852297963
14,1,13,9,12.902103738127737
